40 100
####################################################################################################
#**  *     ******* * *  *  *  ** * * *** ** ** *** *  ******  *         * *   ** **      *  * **   #
#*****   * * **   ****   * *** *   *   *********** *     *  * * * * ***  *    * *  * **    ** * ***#
# ** * ** **  *   ** ****** *       ** **     * * **  *   *    ***   *  ****  **   *** **** * *  **#
#  * ** *  ** ** *  **** **** ****  *  *  * * *****   ** *   *   *** *  * **   ** *    ** * **     #
# ** ** ** *  *  ** **** * *** ****      * *   ***  **   * **    *  **   *  *   * * **  *  *** *** #
#*   * ****      *****    * * * *  ***  ** * * ***   * * * *   **   * *****  * * *******  **     **#
# ****** * *  ******   **  *** *  * *  * ****  **   * * **   *  ***  * ** ** *   ** * ****  ** ****#
#* * *****  * *  * *   ** *** * **   ***    ****  *  * ***   * *** * *   **   * ***** *** ** ******#
#    *     **   * ** * **  ***  *  *****  *  **      ** *  ***  *       *** ****     **    * * *   #
#***      ** * ** **  *   *** * *****  ** *  * *  *******  * **** *    *    *****  * *  ** * **    #
#** ***                                                                                            #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
#                                                                                                  #
####################################################################################################
